Tx Time(s)	Rx Time(s)	Latency(s)	Source Address
6.65882	6.67383	0.0150112	04-07-01:00:00:02:01:c0:00
6.67882	6.69383	0.0150112	04-07-01:00:00:02:01:c0:00
6.69882	6.71383	0.0150112	04-07-01:00:00:02:01:c0:00
6.71882	6.73383	0.0150112	04-07-01:00:00:02:01:c0:00
6.73882	6.75383	0.0150112	04-07-01:00:00:02:01:c0:00
6.75882	6.77383	0.0150112	04-07-01:00:00:02:01:c0:00
6.77882	6.79383	0.0150112	04-07-01:00:00:02:01:c0:00
6.79882	6.81383	0.0150112	04-07-01:00:00:02:01:c0:00
6.81882	6.83383	0.0150112	04-07-01:00:00:02:01:c0:00
6.83882	6.85383	0.0150112	04-07-01:00:00:02:01:c0:00
6.85882	6.87383	0.0150112	04-07-01:00:00:02:01:c0:00
6.87882	6.89383	0.0150112	04-07-01:00:00:02:01:c0:00
6.89882	6.91383	0.0150112	04-07-01:00:00:02:01:c0:00
6.91882	6.93383	0.0150112	04-07-01:00:00:02:01:c0:00
6.93882	6.95383	0.0150112	04-07-01:00:00:02:01:c0:00
6.95882	6.97383	0.0150112	04-07-01:00:00:02:01:c0:00
6.97882	6.99383	0.0150112	04-07-01:00:00:02:01:c0:00
6.99882	7.01383	0.0150112	04-07-01:00:00:02:01:c0:00
7.01882	7.03383	0.0150112	04-07-01:00:00:02:01:c0:00
7.03882	7.05383	0.0150112	04-07-01:00:00:02:01:c0:00
7.05882	7.07383	0.0150112	04-07-01:00:00:02:01:c0:00
7.07882	7.09383	0.0150112	04-07-01:00:00:02:01:c0:00
7.09882	7.11383	0.0150112	04-07-01:00:00:02:01:c0:00
7.11882	7.13383	0.0150112	04-07-01:00:00:02:01:c0:00
7.13882	7.15383	0.0150112	04-07-01:00:00:02:01:c0:00
7.15882	7.17383	0.0150112	04-07-01:00:00:02:01:c0:00
7.17882	7.19383	0.0150112	04-07-01:00:00:02:01:c0:00
7.19882	7.21383	0.0150112	04-07-01:00:00:02:01:c0:00
7.21882	7.23383	0.0150112	04-07-01:00:00:02:01:c0:00
7.23882	7.25383	0.0150112	04-07-01:00:00:02:01:c0:00
7.25882	7.27383	0.0150112	04-07-01:00:00:02:01:c0:00
7.27882	7.29383	0.0150112	04-07-01:00:00:02:01:c0:00
7.29882	7.31383	0.0150112	04-07-01:00:00:02:01:c0:00
7.31882	7.33383	0.0150112	04-07-01:00:00:02:01:c0:00
7.33882	7.35383	0.0150112	04-07-01:00:00:02:01:c0:00
7.35882	7.37383	0.0150112	04-07-01:00:00:02:01:c0:00
7.37882	7.39383	0.0150112	04-07-01:00:00:02:01:c0:00
7.39882	7.41383	0.0150112	04-07-01:00:00:02:01:c0:00
7.41882	7.43383	0.0150112	04-07-01:00:00:02:01:c0:00
