Tx Time(s)	Rx Time(s)	Latency(ms)
8.70862	8.71508	6.46355
8.72862	8.73508	6.46355
8.74862	8.75508	6.46355
8.76862	8.77508	6.46355
8.78862	8.79508	6.46355
8.80862	8.81508	6.46355
8.82862	8.83508	6.46355
8.84862	8.85508	6.46355
8.86862	8.89258	23.9635
8.88862	8.91258	23.9635
8.90862	8.93258	23.9635
8.92862	8.95258	23.9635
8.94862	8.97258	23.9635
8.96862	8.99258	23.9635
8.98862	9.01258	23.9635
9.00862	9.03258	23.9635
9.02862	9.05258	23.9635
9.04862	9.07258	23.9635
9.06862	9.09258	23.9635
9.08862	9.11258	23.9635
9.10862	9.13258	23.9635
9.12862	9.15258	23.9635
9.14862	9.17258	23.9635
9.16862	9.19258	23.9635
9.18862	9.21258	23.9635
9.20862	9.23258	23.9635
9.22862	9.25258	23.9635
9.24862	9.27258	23.9635
9.26862	9.29258	23.9635
9.28862	9.31258	23.9635
9.30862	9.33258	23.9635
9.32862	9.35258	23.9635
9.34862	9.37158	22.9635
9.36862	9.39158	22.9635
9.38862	9.41158	22.9635
9.40862	9.43158	22.9635
9.42862	9.45158	22.9635
9.44862	9.47158	22.9635
9.46862	9.49158	22.9635
9.48862	9.51158	22.9635
9.50862	9.53158	22.9635
9.52862	9.55158	22.9635
9.54862	9.57158	22.9635
9.56862	9.59158	22.9635
9.58862	9.61158	22.9635
9.60862	9.63158	22.9635
9.62862	9.65158	22.9635
9.64862	9.67158	22.9635
9.66862	9.69158	22.9635
9.68862	9.71158	22.9635
9.70862	9.73158	22.9635
9.72862	9.75158	22.9635
9.74862	9.77158	22.9635
9.76862	9.79158	22.9635
9.78862	9.81158	22.9635
9.80862	9.83158	22.9635
9.82862	9.85158	22.9635
9.84862	9.87158	22.9635
9.86862	9.89158	22.9635
9.88862	9.91158	22.9635
9.90862	9.93158	22.9635
9.92862	9.95158	22.9635
9.94862	9.97158	22.9635
9.96862	9.99158	22.9635
9.98862	10.0116	22.9635
10.0086	10.0316	22.9635
10.0286	10.0516	22.9635
10.0486	10.0716	22.9635
10.0686	10.0916	22.9635
10.0886	10.1116	22.9635
10.1086	10.1316	22.9635
10.1286	10.1516	22.9635
10.1486	10.1716	22.9635
10.1686	10.1916	22.9635
10.1886	10.2116	22.9635
10.2086	10.2316	22.9635
10.2286	10.2516	22.9635
10.2486	10.2716	22.9635
10.2686	10.2916	22.9635
10.2886	10.3116	22.9635
10.3086	10.3316	22.9635
10.3286	10.3516	22.9635
10.3486	10.3716	22.9635
10.3686	10.3916	22.9635
10.3886	10.4116	22.9635
10.4086	10.4316	22.9635
10.4286	10.4516	22.9635
10.4486	10.4716	22.9635
10.4686	10.4916	22.9635
10.4886	10.5116	22.9635
10.5086	10.5316	22.9635
10.5286	10.5516	22.9635
10.5486	10.5716	22.9635
10.5686	10.5916	22.9635
10.5886	10.6116	22.9635
10.6086	10.6316	22.9635
10.6286	10.6516	22.9635
10.6486	10.6716	22.9635
10.6686	10.6916	22.9635
10.6886	10.7116	22.9635
10.7086	10.7316	22.9635
10.7286	10.7438	15.2135
10.7486	10.7638	15.2135
10.7686	10.7838	15.2135
10.7886	10.8038	15.2135
10.8086	10.8238	15.2135
10.8286	10.8438	15.2135
10.8486	10.8646	15.9635
10.8686	10.8838	15.2135
10.8886	10.9038	15.2135
10.9086	10.9238	15.2135
10.9286	10.9438	15.2135
10.9486	10.9646	15.9635
10.9686	10.9838	15.2135
10.9886	11.0038	15.2135
11.0086	11.0238	15.2135
11.0286	11.0438	15.2135
11.0486	11.0638	15.2135
11.0686	11.0838	15.2135
11.0886	11.1038	15.2135
11.1086	11.1238	15.2135
11.1286	11.1438	15.2135
11.1486	11.1638	15.2135
11.1686	11.1846	15.9635
11.1886	11.2038	15.2135
11.2086	11.2238	15.2135
